name,has_proof_function
/home/lhz/verus-proof-synthesis/benchmarks/MBPP/unverified/task_id_764.rs,False
/home/lhz/verus-proof-synthesis/benchmarks/MBPP/unverified/task_id_436.rs,False
/home/lhz/verus-proof-synthesis/benchmarks/MBPP/unverified/task_id_743.rs,False
/home/lhz/verus-proof-synthesis/benchmarks/MBPP/unverified/task_id_433.rs,False
/home/lhz/verus-proof-synthesis/benchmarks/MBPP/unverified/task_id_457.rs,False
/home/lhz/verus-proof-synthesis/benchmarks/MBPP/unverified/task_id_741.rs,False
/home/lhz/verus-proof-synthesis/benchmarks/MBPP/unverified/task_id_62.rs,False
/home/lhz/verus-proof-synthesis/benchmarks/MBPP/unverified/task_id_644.rs,False
/home/lhz/verus-proof-synthesis/benchmarks/MBPP/unverified/task_id_775.rs,False
/home/lhz/verus-proof-synthesis/benchmarks/MBPP/unverified/task_id_807.rs,False
/home/lhz/verus-proof-synthesis/benchmarks/MBPP/unverified/task_id_741.rs-out.rs,False
/home/lhz/verus-proof-synthesis/benchmarks/MBPP/unverified/task_id_809.rs,False
/home/lhz/verus-proof-synthesis/benchmarks/MBPP/unverified/task_id_424.rs,False
/home/lhz/verus-proof-synthesis/benchmarks/MBPP/unverified/task_id_62.rs-out.rs,False
/home/lhz/verus-proof-synthesis/benchmarks/MBPP/unverified/task_id_113.rs,False
